Assignee,Segment, COUNT(Id)
john@example.com,AE,62
john@example.com,AP,172
john@example.com,IS,55
john@example.com,LB,1770
john@example.com,NM,101
john@example.com,OS,2247
john@example.com,PD,1432
john@example.com,PH,3627
natasha@example.com,AE,51
natasha@example.com,AP,136
natasha@example.com,IS,45
natasha@example.com,LB,1710
natasha@example.com,NM,94
natasha@example.com,OS,1617
natasha@example.com,PD,1979
natasha@example.com,PH,4350
mario@example.com,AE,58
mario@example.com,AP,178
mario@example.com,IS,51
mario@example.com,LB,1752
mario@example.com,NM,58
mario@example.com,OS,1991
mario@example.com,PD,1955
mario@example.com,PH,4246
gerald@example.com,AE,66
gerald@example.com,AP,140
gerald@example.com,IS,85
gerald@example.com,LB,1674
gerald@example.com,NM,106
gerald@example.com,OS,1534
gerald@example.com,PD,1375
gerald@example.com,PH,4728
karen@example.com,AE,59
karen@example.com,AP,171
karen@example.com,IS,61
karen@example.com,LB,1895
karen@example.com,NM,70
karen@example.com,OS,1950
karen@example.com,PD,1424
karen@example.com,PH,4509
